,n,p,TP,FP,product,adj_R2
232,0.02,0.3,9.89,57.16,-0.0,0.95
233,0.02,0.31,9.64,59.69,-0.0,0.95
234,0.02,0.32,9.42,62.18,-0.0,0.95
235,0.02,0.33,9.22,64.63,-0.0,0.95
236,0.02,0.34,9.03,67.06,-0.0,0.95
237,0.02,0.35000000000000003,8.86,69.46,-0.0,0.94
238,0.02,0.36,8.71,71.84,-0.0,0.94
239,0.02,0.37,8.57,74.2,-0.0,0.94
240,0.02,0.38,8.45,76.54,-0.0,0.94
241,0.02,0.39,8.35,78.85,-0.0,0.94
242,0.02,0.4,8.26,81.14,-0.0,0.94
243,0.02,0.41000000000000003,8.19,83.4,-0.0,0.94
244,0.02,0.42,8.15,85.61,-0.0,0.94
245,0.02,0.43,8.12,87.77,-0.0,0.94
246,0.02,0.44,8.13,89.83,-0.01,0.94
247,0.02,0.45,8.17,91.76,-0.01,0.93
248,0.02,0.46,8.25,93.49,-0.01,0.93
249,0.02,0.47000000000000003,8.39,94.9,-0.01,0.93
250,0.02,0.48,8.6,95.78,-0.01,0.93
251,0.02,0.49,8.94,95.73,-0.01,0.93
252,0.02,0.5,9.48,93.96,-0.01,0.93
253,0.02,0.51,10.36,88.63,-0.01,0.92
254,0.02,0.52,11.93,74.78,-0.01,0.92
255,0.02,0.53,15.0,35.61,-0.01,0.92
256,0.02,0.54,22.15,-100.95,-0.02,0.94
257,0.02,0.55,41.42,-527.43,-0.01,0.98
258,0.02,0.56,52.46,-775.22,-0.01,0.99
259,0.02,0.5700000000000001,53.45,-802.05,-0.01,0.99
260,0.02,0.58,54.45,-829.1,-0.01,0.99
261,0.02,0.59,55.43,-856.23,-0.01,1.0
262,0.02,0.6,56.4,-883.19,-0.01,1.0
263,0.02,0.61,57.33,-909.66,-0.01,1.0
264,0.02,0.62,58.19,-935.19,-0.01,1.0
265,0.02,0.63,58.96,-959.24,-0.01,1.0
266,0.02,0.64,59.61,-981.22,-0.01,1.0
267,0.02,0.65,60.12,-1000.59,-0.01,1.0
268,0.02,0.66,60.47,-1016.89,-0.01,1.0
269,0.02,0.67,60.66,-1029.87,-0.01,1.0
270,0.02,0.68,60.71,-1039.49,-0.01,1.0
271,0.02,0.6900000000000001,60.62,-1045.83,-0.01,1.0
272,0.02,0.7000000000000001,60.4,-1048.86,-0.01,1.0
273,0.02,0.71,60.0,-1047.37,-0.01,1.0
274,0.02,0.72,59.12,-1035.49,-0.0,1.0
275,0.02,0.73,56.7,-991.29,-0.0,1.0
276,0.02,0.74,49.75,-851.47,-0.0,1.0
277,0.02,0.75,34.37,-531.53,0.01,1.0
278,0.02,0.76,16.13,-145.36,0.01,1.0
279,0.02,0.77,5.84,77.15,0.01,1.0
280,0.02,0.78,2.3,157.23,0.02,1.0
281,0.02,0.79,1.29,183.04,0.02,1.0
282,0.02,0.8,1.0,193.06,0.02,1.0
283,0.02,0.81,0.9,198.74,0.02,1.0
284,0.02,0.8200000000000001,0.85,203.19,0.02,1.0
285,0.02,0.8300000000000001,0.82,207.23,0.02,1.0
286,0.02,0.84,0.79,211.09,0.02,1.0
287,0.02,0.85,0.76,214.82,0.02,1.0
288,0.02,0.86,0.73,218.41,0.03,1.0
289,0.02,0.87,0.71,221.81,0.04,1.0
290,0.02,0.88,0.69,224.92,0.05,1.0
291,0.02,0.89,0.66,227.63,0.08,1.0
292,0.02,0.9,0.64,229.75,0.13,1.0
293,0.02,0.91,0.62,230.99,0.23,1.0
294,0.02,0.92,0.58,230.89,0.41,0.99
295,0.02,0.93,0.52,228.54,0.77,0.98
296,0.02,0.9400000000000001,0.4,221.97,1.53,0.96
297,0.02,0.9500000000000001,0.13,207.2,3.2,0.9
298,0.02,0.96,0.17,230.2,2.32,0.62
